created_at,username,full_text,tweet_id,query
2014-01-29 03:25:32+00:00,GWirjawan,"""Penyebab utama kenaikan harga karena banjir, sehingga distribusinya menjadi terganggu."" - Gita Wirjawan. -blb",428368284195381248,kenaikan harga lang:id
2014-01-28 20:04:57+00:00,501Awani,Pemuda UMNO turut bantu kawal kenaikan harga barang - Khairy http://t.co/zlGxlTPmN6,428257407157141504,kenaikan harga lang:id
2014-01-28 18:40:46+00:00,tribunjogja,Banjir Picu Kenaikan Harga Minyak Goreng Curah di Magelang http://t.co/CgKV9SSQq5,428236221039792128,kenaikan harga lang:id
2014-01-28 18:24:01+00:00,tribunjogja,Banjir Picu Kenaikan Harga Minyak Goreng Curah di Magelang http://t.co/CgKV9SSQq5,428232007257440256,kenaikan harga lang:id
2014-01-28 15:50:53+00:00,beritartm,28 Jan - KDN Akan Bantu KPDNKK Tangani Isu Kenaikan Harga... http://t.co/OuySqTNhhA,428193468565823488,kenaikan harga lang:id
2014-01-28 11:55:22+00:00,bernamadotcom,KDN akan membantu KPDNKK dalam menyelesaikan isu kenaikan harga barangan di pasaran.,428134199929761793,kenaikan harga lang:id
2014-01-28 08:02:29+00:00,Stakof,"Yi Buchori juga tahu kok :p RT @nanuuchan: berapa ratus ribu nikuuu? XD ""@Stakof: *dengerin ibu² pada rapat soal kenaikan harga cabai*""",428075594148876288,kenaikan harga lang:id
2014-01-28 07:52:58+00:00,Stakof,*halah* RT @FendiArdha: Cabe-Cabean bukan Bib?  @Stakof: *dengerin ibu² pada rapat soal kenaikan harga cabai*,428073199243251712,kenaikan harga lang:id
2014-01-28 07:48:16+00:00,Stakof,*dengerin ibu² pada rapat soal kenaikan harga cabai*,428072016034275328,kenaikan harga lang:id
2014-01-28 03:59:15+00:00,Metro_TV,"Akibat Minimnya Stok, Harga Cabai Alami Kenaikan http://t.co/VgF5ShhwfB",428014380777615360,kenaikan harga lang:id
2014-01-28 03:48:52+00:00,Kemenperin_RI,Kemenperin: Kenaikan TDL Industri Akan Kerek Harga Produk http://t.co/lPkEoZ4ho4 #BeritaIndustri,428011770356039680,kenaikan harga lang:id
2014-01-28 02:26:20+00:00,tm_insider,"Pemuda Umno bantu kawal kenaikan harga barang, kata Khairy: Ketua Pergerakan Pemuda Umno, Khairy Jamaluddin Ab... http://t.co/vKCN31Cni1",427990999021793280,kenaikan harga lang:id
2014-01-28 02:21:25+00:00,bharianmy,Pemuda UMNO bantu pantau kenaikan harga barang http://t.co/DRZeI2GEs8,427989761525968896,kenaikan harga lang:id
2014-01-28 02:14:05+00:00,umnoonline,Pemuda UMNO Turut Bantu Kawal Kenaikan Harga Barang – Khairy http://t.co/RIjLf95l9s #UMNO #Malaysia,427987917391147008,kenaikan harga lang:id
2014-01-27 11:04:54+00:00,umnoonline,Usaha Serius Kerajaan Tangani Kenaikan Harga Barang Tolak Tohmahan Pembangkang http://t.co/NmuLNpL6P0 #UMNO #Malaysia,427759112684716032,kenaikan harga lang:id
2014-01-27 10:21:24+00:00,detikcom,Mentan Suswono Usul Kenaikan Harga Pupuk Subsidi di 2014 http://t.co/EzcNhhj2yt via @detikfinance,427748167426117632,kenaikan harga lang:id
2014-01-27 09:11:03+00:00,detikfinance,Mentan Suswono Usul Kenaikan Harga Pupuk Subsidi di 2014 http://t.co/SGdWqOOXJY,427730459544403968,kenaikan harga lang:id
2014-01-27 00:23:41+00:00,bharianmy,Pemimpin persatuan perlu terangkan isu kenaikan harga http://t.co/0rt23MuvlS,427597744216096768,kenaikan harga lang:id
2014-01-27 00:18:28+00:00,bharianmy,Bekerjasama pantau kenaikan harga http://t.co/P976WyR1MB,427596432754114560,kenaikan harga lang:id
2014-01-26 14:19:17+00:00,SinarOnline,Pemborong: Kaji kenaikan harga ayam di ladang #SHNasional http://t.co/W96gXfRXjN,427445641489293313,kenaikan harga lang:id
2014-01-26 06:50:11+00:00,501Awani,Hasan Malek: Ops Harga berjaya atasi kenaikan harga barangan http://t.co/bqove4TPS8,427332624705921024,kenaikan harga lang:id
2014-01-25 12:47:22+00:00,umnoonline,KKLW Bergerak Secara Bersepadu Dengan Kementerian Lain Atasi Kenaikan Harga Barang http://t.co/7skpamKYI1 #UMNO #Malaysia,427060124989935616,kenaikan harga lang:id
2014-01-25 11:08:28+00:00,mediaindonesia,"Pascabanjir Jakarta, Harga Sembako Alami Kenaikan http://t.co/OuvfeXaDNX",427035233448243200,kenaikan harga lang:id
2014-01-25 07:49:28+00:00,bernamadotcom,KKLW Bergerak Secara Bersepadu Dengan Kementerian Lain Atasi Kenaikan Harga Barang http://t.co/PvNG1LrhEh,426985153466863616,kenaikan harga lang:id
2014-01-25 07:42:55+00:00,beritartm,25 Januari - KKLW Bergerak Secara Bersepadu Dengan Kementerian Lain Atasi Kenaikan Harga Barang... http://t.co/j7MiKJLLO8,426983507798138880,kenaikan harga lang:id
2014-01-25 06:38:57+00:00,Indonesia_Pedia,#beritaSMG Pertamina Akui Ada Kenaikan Harga BBM di Wilayah Bencana http://t.co/nuUv24QFjG | suaramerdeka,426967407270170624,kenaikan harga lang:id
2014-01-25 05:33:33+00:00,suaramerdeka,Pertamina Akui Ada Kenaikan Harga BBM di Wilayah Bencana http://t.co/R6g8gMZdhC,426950950859702272,kenaikan harga lang:id
2014-01-25 05:23:11+00:00,suaramerdeka,Pertamina Akui Ada Kenaikan Harga BBM di Wilayah Bencana http://t.co/ZGkvqflU5j,426948339075018752,kenaikan harga lang:id
2014-01-24 22:20:10+00:00,antaranews,Harga emas berjangka catat kenaikan mingguan beruntun kelima http://t.co/7Ui1MsXIBX,426841886519603200,kenaikan harga lang:id
2014-01-24 18:34:43+00:00,tribuntimur,"TRIBUN TIMUR Kenaikan Harga Tanah di Makassar Kejar Jakarta: Akbar kembali menjelaskan,... http://t.co/ks2psaq9xG http://t.co/QBfZpcRths",426785148709773312,kenaikan harga lang:id
2014-01-24 18:34:35+00:00,tribuntimur,"Kenaikan Harga Tanah di Makassar Kejar Jakarta: Akbar kembali menjelaskan, ""Itu untuk yang dipinggir jalan, ka... http://t.co/ISCIcMtCEQ",426785114157109248,kenaikan harga lang:id
2014-01-24 14:31:21+00:00,anwaribrahim,"Isu Utama! ""@Afy_Adriamie: Berapa ramai YB2 Pakatan Rakyat yg benar2 ambil berat dan prihatin dgn isu kenaikan harga barang?  @rafiziramli""",426723904074162177,kenaikan harga lang:id
2014-01-24 07:05:08+00:00,KontanNews,"Sepekan, harga minyak toreh kenaikan 3,4% http://t.co/g57QswDPfz",426611610593923072,kenaikan harga lang:id
2014-01-24 03:36:11+00:00,CiputraWay,"Salah Perpsepsi, Penaikan NJOP Dorong Kenaikan Harga Properti http://t.co/90XSim2xx8",426559025656786944,kenaikan harga lang:id
2014-01-24 00:53:46+00:00,infotegal,Kenaikan Harga LPG 12 KG Picu Inflasi http://t.co/HO1JAcm5f7 #beritaTGL,426518151619026944,kenaikan harga lang:id
2014-01-23 20:45:55+00:00,Bisniscom,"Salah Persepsi, Kenaikan NJOP Dongkrak Lagi Harga Properti Jakarta http://t.co/UpBSlKMUOl",426455778346545152,kenaikan harga lang:id
2014-01-23 12:16:12+00:00,myTranstweet,Mau tauuu gimana Kenaikan Harga LPG Di Mata Indonesia Lawak Klub? Ada tayangan ulangnya di http://t.co/E4gnaK91ki cc: @LawakKlubTrans7,426327502898741248,kenaikan harga lang:id
2014-01-23 09:19:55+00:00,Bernama_Radio,Para peniaga disaran bekerjasama dengan kerajaan untuk mencari kaedah menangani isu kenaikan harga barangan di pasaran semasa - KPDNKK,426283142899462144,kenaikan harga lang:id
2014-01-23 09:15:22+00:00,umnoonline,Peniaga Disaran Bantu Kerajaan Cari Kaedah Tangani Isu Kenaikan Harga http://t.co/SfeCJgmVmo #UMNO #Malaysia,426281995837005824,kenaikan harga lang:id
2014-01-23 08:07:05+00:00,bharianmy,Peniaga disaran bantu kerajaan cari kaedah tangani isu kenaikan harga http://t.co/QVIsOKdBRy,426264812642136065,kenaikan harga lang:id
2014-01-23 07:07:43+00:00,uphimpactslives,"@Irene_Damay ada bbrp tahap. kamu mau apply FK ya? jgn telat melengkapi persyaratan ya, tiap kenaikan gelombang, harga juga berubah.",426249873684316162,kenaikan harga lang:id
2014-01-23 06:40:01+00:00,merdekadotcom,Bea masuk bahan kemasan plastik dongkrak kenaikan harga minuman http://t.co/Gl2LQtTRi1 #Riil,426242902914633729,kenaikan harga lang:id
2014-01-22 12:15:12+00:00,bernamadotcom,"Pasaran hartanah di JB, termasuk Iskandar Malaysia terkesan daripada langkah2 pihak berkuasa kawal kenaikan mendadak harga hartanah - REDHA",425964864092135424,kenaikan harga lang:id
2014-01-22 05:39:10+00:00,harakahdailyHD,BERITA TERBARU --&gt;  Surat terbuka kedua kepada Najib dan Kabinet: Perbuatan memutar-belit isu kenaikan harga... http://t.co/IuU78Z3J8h,425865198004895744,kenaikan harga lang:id
2014-01-22 05:20:20+00:00,KompasTV,Banjir di Pantura menyebabkan kenaikan harga sejumlah bahan pokok hingga 50%! Apa saja? Simak #KompasSiang sekarang,425860461062791168,kenaikan harga lang:id
2014-01-22 05:02:41+00:00,umnoonline,Kenaikan Harga Barang : Pembangkang Hanya Pandai Cucuh Api http://t.co/90Wn1vlkQ7 #UMNO #Malaysia,425856019923628032,kenaikan harga lang:id
2014-01-22 04:50:05+00:00,KompasTV,Banjir di Pantura menyebabkan kenaikan harga sejumlah bahan pokok hingga 50%! Apa saja? Simak #KompasSiang pkl 12.00 WIB,425852849164410880,kenaikan harga lang:id
2014-01-21 23:30:01+00:00,UMonline,Bendung kenaikan #harga #barang http://t.co/7MHxyburP0 #BeritaMalaysia #BeritaUtusan,425772301997834241,kenaikan harga lang:id
2014-01-21 16:02:16+00:00,tunfaisal,Hati2 dgn peniaga dap &amp; PR RT @aril_pendangjr: Pembangkang Putar Belit Isu Kenaikan Harga Barang http://t.co/Mq7HDXLOfS,425659618207883265,kenaikan harga lang:id
2014-01-21 12:59:58+00:00,suaramerdeka,Bencana Banjir Picu Kenaikan Harga Sayur Mayur http://t.co/dEi8ivlQCe,425613740868788224,kenaikan harga lang:id
2014-01-21 12:33:18+00:00,Bisniscom,Jepang Pacu Kenaikan Harga Properti http://t.co/gnA1aAKt6O,425607031383289858,kenaikan harga lang:id
2014-01-21 11:43:23+00:00,antaranews,Kenaikan tarif listrik bakal dongkrak harga garmen hingga 50 persen http://t.co/EKeqc0RWbx,425594468369055744,kenaikan harga lang:id
2014-01-21 10:49:49+00:00,501Awani,"Muhyiddin jelas langkah kerajaan kurangkan kenaikan harga, kos hidup
 http://t.co/1ktsVQBDeJ",425580991374458880,kenaikan harga lang:id
2014-01-21 10:31:10+00:00,harakahdailyHD,BERITA TERBARU --&gt;  Muhyiddin jelas langkah k'jaan bendung kenaikan harga: LONDON: Muhyiddin berkata kenaikan... http://t.co/hCy5DqweqK,425576294940962816,kenaikan harga lang:id
2014-01-21 09:59:18+00:00,beritartm,"21 Jan - TPM - Jelas Langkah Kerajaan Kurangkan Kenaikan Harga, Kos... http://t.co/yHNBisQC17",425568276387991552,kenaikan harga lang:id
2014-01-21 09:55:05+00:00,bernamadotcom,"Muhyiddin Jelas Langkah Kerajaan Kurangkan Kenaikan Harga, Kos Hidup http://t.co/YdFT4IvMXb",425567216243732480,kenaikan harga lang:id
2014-01-21 09:38:28+00:00,bharianmy,"Muhyiddin jelas langkah kerajaan kurangkan kenaikan harga, kos hidup http://t.co/y5LVHI0jnv",425563032597823488,kenaikan harga lang:id
2014-01-21 09:31:04+00:00,tm_insider,"Muhyiddin jelas langkah kerajaan kurangkan kenaikan harga, kos hidup: Timbalan Perdana Menteri Malaysia Tan Sr... http://t.co/f9S3d42Crh",425561170343239680,kenaikan harga lang:id
2014-01-21 09:03:50+00:00,Bernama_Radio,Kerajaan Malaysia telah melaksanakan pelbagai langkah dan strategi untuk mengurangkan kenaikan harga dan kos hidup - TPM,425554319513894912,kenaikan harga lang:id
2014-01-21 01:05:01+00:00,merdekadotcom,Tradisi kenaikan harga di tengah bencana http://t.co/uJCWdosfnv #Riil,425433821001957376,kenaikan harga lang:id
2014-01-20 22:30:03+00:00,KontanNews,Prospek LSIP tertopang kenaikan harga CPO http://t.co/v94shyykkW,425394819246985217,kenaikan harga lang:id
2014-01-20 19:39:33+00:00,Indonesia_Pedia,#beritaSMG FITRA: Kenaikan Harga LPG Atas Kendali Mafia http://t.co/znqEee5Y8v | suaramerdeka,425351911676473344,kenaikan harga lang:id
2014-01-20 19:22:36+00:00,suaramerdeka,FITRA: Kenaikan Harga LPG Atas Kendali Mafia http://t.co/cIBiRwr5IG,425347646132219905,kenaikan harga lang:id
2014-01-20 19:18:12+00:00,suaramerdeka,FITRA: Kenaikan Harga LPG Atas Kendali Mafia http://t.co/xlVFSsvexy,425346542413680640,kenaikan harga lang:id
2014-01-20 14:16:21+00:00,Bisniscom,"Kenaikan Harga Tanah Diredam, Rumah Bersubsidi Bisa Meningkat 20% http://t.co/l5yqdQE4Fe",425270578467991552,kenaikan harga lang:id
2014-01-20 09:48:26+00:00,BuletinTV3,"""@BNfor1Malaysia: PORTAL: Sensasikan Kenaikan Harga Barang Jalan Mudah Pembangkang Elak Bantu Rakyat:",425203153709965312,kenaikan harga lang:id
2014-01-20 09:33:09+00:00,umnoonline,Sensasikan Kenaikan Harga Barang Jalan Mudah Pembangkang Elak Bantu Rakyat http://t.co/UyTGs0cMxT #UMNO #Malaysia,425199307784871937,kenaikan harga lang:id
2014-01-20 07:01:03+00:00,bernamadotcom,"Kakitangan awam boleh membantu kerajaan dalam menangani isu kenaikan harga sesetengah barang kini, kata Menteri Besar Perlis Azlan Man.",425161031992635392,kenaikan harga lang:id
2014-01-20 06:53:11+00:00,harakahdailyHD,BERITA TERBARU --&gt;  Barang naik: Kerajaan kambing hitamkan peniaga: Punca Kenaikan Harga Barang Dan Kos Hidup... http://t.co/5W3q2cra6Z,425159049152581632,kenaikan harga lang:id
2014-01-20 04:32:46+00:00,kosmo_online,ALOR SETAR - Pengguna diminta tidak terpengaruh maklumat kenaikan harga di internet. http://t.co/6IOatVeeGs,425123715609673728,kenaikan harga lang:id
